idArret;datecreation;datedebut;datefin;nombrejour;datereprise;agent_matricule;statut
3587;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;4077;Valider
3588;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;4660;Valider
3589;02/01/2020;02/01/2020;03/01/2020;2;04/01/2020;3239;Valider
3590;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;4079;Valider
3591;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;4401;Valider
3592;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;3761;Valider
3593;02/01/2020;02/01/2020;03/01/2020;2;04/01/2020;3837;Valider
3594;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;3297;Valider
3595;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;3113;Valider
3596;02/01/2020;02/01/2020;03/01/2020;2;06/01/2020;3436;Valider
3597;03/01/2020;03/01/2020;03/01/2020;1;06/01/2020;3339;Valider
3598;03/01/2020;03/01/2020;03/01/2020;1;06/01/2020;4134;Valider
3599;03/01/2020;03/01/2020;03/01/2020;1;06/01/2020;3073;Valider
3600;03/01/2020;03/01/2020;03/01/2020;1;04/01/2020;4121;Valider
3601;03/01/2020;03/01/2020;03/01/2020;1;06/01/2020;3301;Valider
3602;03/01/2020;04/01/2020;04/01/2020;1;06/01/2020;4836;Valider
3603;06/01/2020;06/01/2020;07/01/2020;2;08/01/2020;4418;Valider
3604;06/01/2020;06/01/2020;07/01/2020;2;08/01/2020;4104;Valider
3605;06/01/2020;06/01/2020;07/01/2020;2;08/01/2020;3831;Valider
3606;06/01/2020;02/01/2020;03/01/2020;2;06/01/2020;4277;Valider
3607;06/01/2020;06/01/2020;07/01/2020;2;08/01/2020;4277;Valider
3608;06/01/2020;06/01/2020;07/01/2020;2;08/01/2020;3116;Valider
3609;06/01/2020;06/01/2020;08/01/2020;3;09/01/2020;4459;Valider
3610;06/01/2020;02/01/2020;04/01/2020;3;06/01/2020;4126;Valider
3611;06/01/2020;02/01/2020;03/01/2020;2;04/01/2020;4853;Valider
3612;08/01/2020;02/01/2020;03/01/2020;2;04/01/2020;3752;Valider
3613;08/01/2020;08/01/2020;10/01/2020;3;13/01/2020;4104;Valider
3614;08/01/2020;08/01/2020;10/01/2020;3;13/01/2020;4129;Valider
3615;08/01/2020;23/12/2019;23/12/2019;1;24/12/2019;4326;Valider
3616;08/01/2020;08/01/2020;10/01/2020;3;11/01/2020;3568;Valider
3617;08/01/2020;08/01/2020;10/01/2020;3;11/01/2020;3885;Valider
3618;08/01/2020;08/01/2020;08/01/2020;1;09/01/2020;4465;Valider
3619;08/01/2020;08/01/2020;10/01/2020;3;13/01/2020;4628;Valider
3620;08/01/2020;08/01/2020;10/01/2020;3;13/01/2020;4811;Valider
3621;08/01/2020;08/01/2020;10/01/2020;3;13/01/2020;3672;Valider
3623;09/01/2020;06/01/2020;08/01/2020;3;09/01/2020;3994;Valider
3624;09/01/2020;07/01/2020;08/01/2020;2;09/01/2020;4101;Valider
3625;09/01/2020;09/01/2020;09/01/2020;1;10/01/2020;4509;Valider
3626;09/01/2020;09/01/2020;10/01/2020;2;13/01/2020;4266;Valider
3627;09/01/2020;09/01/2020;10/01/2020;2;13/01/2020;3155;Valider
3628;09/01/2020;09/01/2020;10/01/2020;2;13/01/2020;3560;Valider
3629;09/01/2020;05/01/2020;07/01/2020;3;08/01/2020;4333;Valider
3630;09/01/2020;09/01/2020;10/01/2020;2;11/01/2020;3706;Valider
3631;09/01/2020;09/01/2020;10/01/2020;2;13/01/2020;3461;Valider
3632;09/01/2020;09/01/2020;10/01/2020;2;13/01/2020;4069;Valider
3633;10/01/2020;10/01/2020;10/01/2020;1;13/01/2020;4533;Valider
3634;10/01/2020;10/01/2020;10/01/2020;1;13/01/2020;4856;Valider
3635;10/01/2020;09/01/2020;10/01/2020;2;11/01/2020;3820;Valider
3636;10/01/2020;02/01/2020;03/01/2020;2;06/01/2020;3839;Valider
3637;10/01/2020;10/01/2020;10/01/2020;1;13/01/2020;4096;Valider
3638;10/01/2020;10/01/2020;10/01/2020;1;13/01/2020;3764;Valider
3639;10/01/2020;10/01/2020;10/01/2020;1;13/01/2020;1941;Valider
3640;10/01/2020;08/01/2020;09/01/2020;2;10/01/2020;2833;Valider
3641;10/01/2020;10/01/2020;10/01/2020;1;13/01/2020;2833;Valider
3642;10/01/2020;09/01/2020;10/01/2020;2;11/01/2020;3444;Valider
3643;13/01/2020;13/01/2020;13/01/2020;1;14/01/2020;3654;Valider
3644;13/01/2020;13/01/2020;14/01/2020;2;15/01/2020;3512;Valider
3645;13/01/2020;13/01/2020;13/01/2020;1;14/01/2020;2819;Valider
3646;13/01/2020;13/01/2020;13/01/2020;1;14/01/2020;2927;Valider
3647;13/01/2020;13/01/2020;14/01/2020;2;15/01/2020;4399;Valider
3648;13/01/2020;13/01/2020;14/01/2020;2;15/01/2020;3103;Valider
3649;13/01/2020;13/01/2020;14/01/2020;2;15/01/2020;3681;Valider
3650;13/01/2020;13/01/2020;13/01/2020;1;14/01/2020;3898;Valider
3651;14/01/2020;09/01/2020;15/01/2020;7;16/01/2020;3059;Valider
3652;13/01/2020;13/01/2020;17/01/2020;5;18/01/2020;3709;Valider
3653;13/01/2020;13/01/2020;14/01/2020;2;15/01/2020;4277;Valider
3654;13/01/2020;13/01/2020;13/01/2020;1;14/01/2020;2826;Valider
3655;13/01/2020;13/01/2020;13/01/2020;1;14/01/2020;3486;Valider
3656;13/01/2020;12/01/2020;14/01/2020;3;15/01/2020;4297;Valider
3657;13/01/2020;13/01/2020;15/01/2020;3;16/01/2020;3614;Valider
3658;13/01/2020;30/12/2019;01/01/2020;3;02/01/2020;3567;Valider
3659;13/01/2020;13/01/2020;14/01/2020;2;15/01/2020;3708;Valider
3660;13/01/2020;08/01/2020;14/01/2020;7;15/01/2020;3894;Valider
3661;14/01/2020;08/01/2020;10/01/2020;3;11/01/2020;4364;Valider
3662;14/01/2020;08/01/2020;14/01/2020;7;15/01/2020;3153;Valider
3663;14/01/2020;13/01/2020;15/01/2020;3;16/01/2020;4096;Valider
3664;14/01/2020;14/01/2020;14/01/2020;1;15/01/2020;3894;Valider
3665;14/01/2020;13/01/2020;17/01/2020;5;18/01/2020;2813;Valider
3666;14/01/2020;14/01/2020;14/01/2020;1;15/01/2020;3058;Valider
3667;14/01/2020;14/01/2020;15/01/2020;2;16/01/2020;4358;Valider
3668;14/01/2020;14/01/2020;15/01/2020;2;16/01/2020;2751;Valider
3670;14/01/2020;13/01/2020;13/01/2020;1;14/01/2020;3662;Valider
3671;15/01/2020;11/01/2020;12/01/2020;2;13/01/2020;3895;Valider
